sku,un_bx
01240,60
011019,60
014741,60
014384,60
016715,60
015345,60
015931,60
015992,60
016782,60
016773,60
014542,60
016801,60
016812,60
016811,60
016802,60
016803,60
016800,60
015365,60
015358,60
015350,60
015349,60
011603,60
015944,60
015945,60
015946,60
015947,60
016753,60
016004,48
015938,48
014796,48
016678,48
016724,48
014323,48
011883,48
016783,48
016807,48
01709,60
014775,60
014734,60
014762,60
015993,60
011262,60
011263,60
011861,60
015296,60
015281,60
015921,60
015301,60
012536,60
012537,60
015282,60
015286,60
015290,60
016806,60
016799,60
015308,60
015288,60
015287,60
015302,60
01706,60
014733,60
016718,60
016719,60
016720,60
016721,60
01707,60
011028,60
011950,60
016657,48
016785,48
015936,48
014268,48
015939,48
014269,48
016784,48
016674,48
016673,48
016786,48
016787,48
016809,48
016810,48
016672,48
014271,48
016752,36
016751,36
016677,36
016676,36
014270,36
016750,36
016749,36
016700,36
016675,36
015933,36
014277,36
016764,48
016765,48
011253,1
014844,1
011254,1
014843,1
014429,36
014649,36
011500,36
015737,12
013924,12
014410,12
015750,12
015751,12
013888,36
012230,120
014945,120
014949,120
014467,120
015104,120
015100,120
015101,120
015102,120
014899,120
014845,120
014861,120
014946,120
014411,120
015113,120
015119,120
015022,120
013860,120
013861,120
013985,120
015046,120
015047,120
015048,120
014852,120
014853,120
014854,120
014932,120
014933,120
014934,120
014935,120
014929,120
014928,120
014478,120
014479,120
014480,120
015056,120
015058,120
015060,120
014846,120
014847,120
014848,120
015093,120
015116,120
015026,120
015019,120
012232,60
015472,1
015473,1
014647,1
016287,12
016288,12
016289,12
016211,12
016341,12
016358,12
016311,12
016316,12
015955,12
016682,12
015954,12
016681,12
MA001,18
MA002,12
MA003,18
MA004,12
014850,400
014851,400
016725,24
016726,24
016727,24
016755,24
016757,24
016758,24
016759,24
016805,24
016706,36
016708,36
016756,24
016760,24
016761,24
016762,24
016768,36
016769,36
016770,36
016771,36
016743,48
016744,48
016745,48
016746,48
016763,18
014375,36
016766,24
016729,50
016788,50
016730,50
016737,50
016738,50
016739,50
016747,36
016748,36
016791,36
016793,36
016778,120
016780,120
016777,120
016779,120
016781,120
14208,60
14209,60
14210,60
14211,60
14202,60
14203,60
14068,1
14054,1
14055,1
14059,1
14060,1
02210,25
02211,50
02204,100
02212,100
02182,25
02213,25
02192,48
02191,48
02169,18
02196,36
08030,50
78455,50
08032,50
78456,50
03108,50
03157,50
03439,50
03153,50
03183,50
03466,50
03113,50
03464,50
03291,50
03156,50
03109,50
03155,50
03154,50
03110,50
03112,50
03290,50
03467,50
03465,50
03114,50
03382,50
03438,50
03469,50
03385,50
03472,50
03435,50
03468,50
03474,50
03391,50
03383,50
03390,50
03381,50
03470,50
03473,50
03437,50
03436,50
03471,50
03084,100
03521,100
03087,100
03094,100
03085,100
03086,100
03179,100
03088,100
03091,100
03089,100
03092,100
03093,100
03095,100
03384,100
03292,100
03337,100
03340,100
03338,100
03463,100
03339,100
03293,100
03461,100
03522,100
03096,50
03107,50
03077,100
03283,100
03284,100
03446,100
03075,100
03081,100
78029,100
78030,100
03080,100
78028,100
78314,100
78312,100
78098,100
78343,100
78434,100
78508,100
78449,100
78510,100
78506,100
78063,100
78315,100
78313,100
78095,100
78344,100
78435,100
78509,100
78450,100
78511,100
78507,100
78062,100
78111,120
78113,120
78114,120
78112,120
78264,120
78109,120
78333,120
78336,120
78438,120
78362,120
78479,120
78108,120
78088,120
78453,120
78090,120
78480,120
78446,120
78485,24
78431,24
78487,24
78433,24
78432,24
77125,288
77145,144
77128,72
77129,24
77147,18
77265,144
77266,72
77267,24
77268,18
77146,144
77148,144
77127,144
77246,144
77248,144
77247,144
76058,144
76053,144
76059,144
76061,288
76056,144
76057,144
76124,144
76228,144
76230,288
76125,144
76126,144
76127,144
77130,72
77131,72
77132,36
77262,72
77263,24
77264,12
77142,60
77249,48
